gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size
Female,17.0,Informatique,4,80.8,19.0,85.1,82.6,5.7,1.0,1.3,10.8,Yes,No,Middle,3.0,Yes,Salle 29,230.0
Male,23.0,Electrique,3,78.1,22.0,66.1,85.1,29.7,1.0,3.5,18.4,Yes,No,Middle,3.0,Yes,Salle 24,188.0
Male,23.0,Telecom,1,98.4,2.0,93.3,55.5,70.6,0.0,1.4,9.9,Yes,No,Middle,2.0,Yes,Salle 16,121.0
Male,24.0,Informatique,2,84.2,16.0,53.1,58.2,63.9,2.0,3.7,20.9,Yes,No,Middle,1.0,Yes,Salle 28,298.0
Female,18.0,Electrique,4,94.6,5.0,60.8,83.8,79.3,3.0,0.6,0.4,Yes,No,Middle,1.0,Yes,Salle 7,157.0
Male,22.0,Informatique,1,100.0,0.0,44.5,52.2,71.7,0.0,2.0,12.2,Yes,No,Middle,2.0,Yes,Salle 2,248.0
Female,24.0,Telecom,1,85.6,14.0,80.6,97.9,62.7,1.0,2.0,8.4,Yes,No,Middle,1.0,Yes,Salle 26,121.0
Male,21.0,GenieCivil,1,96.4,4.0,81.9,65.4,56.0,0.0,1.8,11.5,No,No,Middle,5.0,Yes,Salle 29,149.0
Male,24.0,Telecom,2,94.8,5.0,78.5,72.8,84.3,2.0,0.5,11.5,Yes,No,Middle,1.0,Yes,Salle 26,161.0
Male,21.0,Informatique,4,98.3,2.0,71.9,47.3,95.9,0.0,2.1,8.5,No,No,Low,3.0,Yes,Salle 11,230.0
Male,21.0,GenieCivil,4,82.6,17.0,66.8,44.5,63.5,2.0,2.1,7.3,Yes,No,Middle,1.0,No,Salle 19,173.0
Male,18.0,Telecom,3,87.4,13.0,43.1,61.6,52.0,1.0,2.9,17.3,Yes,Yes,Low,0.0,Yes,Salle 23,154.0
Female,22.0,Telecom,2,85.7,14.0,75.6,61.6,51.7,1.0,0.6,4.7,Yes,No,High,1.0,Yes,Salle 16,161.0
Male,22.0,GenieCivil,3,73.3,27.0,79.6,75.8,83.7,1.0,7.3,32.6,No,No,Low,1.0,Yes,Salle 5,185.0
Male,21.0,Telecom,3,93.4,7.0,68.5,21.5,59.7,3.0,0.1,0.0,Yes,No,Middle,0.0,Yes,Salle 17,154.0
Female,21.0,Electrique,2,61.3,39.0,72.2,56.5,100.0,1.0,1.0,10.0,No,No,Middle,3.0,No,Salle 8,185.0
Female,19.0,Mecanique,1,100.0,0.0,54.7,90.8,47.1,2.0,1.4,13.5,No,No,High,1.0,Yes,Salle 13,186.0
Male,20.0,Electrique,4,89.9,10.0,60.1,58.2,58.8,1.0,0.9,9.3,No,No,Middle,2.0,Yes,Salle 20,157.0
Male,19.0,Telecom,1,88.1,12.0,81.1,75.9,62.1,2.0,1.4,1.1,Yes,Yes,Middle,2.0,Yes,Salle 13,121.0
Male,24.0,Mecanique,1,100.0,0.0,44.4,59.9,97.0,4.0,0.9,10.6,Yes,No,Middle,1.0,Yes,Salle 26,186.0
Female,23.0,GenieCivil,2,79.3,21.0,72.7,61.2,65.2,0.0,3.1,15.4,Yes,No,Low,2.0,No,Salle 5,177.0
Female,23.0,Informatique,1,82.4,18.0,62.0,61.6,58.0,2.0,4.9,19.2,No,No,Middle,0.0,Yes,Salle 22,248.0
Male,19.0,Electrique,4,67.5,32.0,76.6,71.7,54.1,1.0,1.4,18.4,Yes,No,Middle,1.0,Yes,Salle 3,157.0
Female,22.0,Informatique,1,64.9,35.0,60.7,81.1,60.0,1.0,1.0,7.4,No,No,Middle,2.0,Yes,Salle 8,248.0
Female,23.0,Electrique,3,100.0,0.0,82.5,46.7,78.5,0.0,0.2,7.2,Yes,No,Middle,0.0,Yes,Salle 7,188.0
Male,20.0,Informatique,4,72.6,27.0,58.0,76.3,83.9,2.0,1.3,3.3,Yes,No,Middle,1.0,No,Salle 10,230.0
Female,24.0,Telecom,5,82.7,17.0,62.5,64.8,43.8,1.0,0.4,1.3,Yes,No,High,1.0,No,Salle 28,60.0
Male,23.0,Mecanique,3,77.2,23.0,73.4,61.6,48.9,1.0,0.9,10.7,Yes,No,Middle,1.0,Yes,Salle 30,212.0
Male,23.0,Mecanique,4,94.5,6.0,65.8,86.8,45.8,2.0,0.4,7.8,No,No,Low,1.0,No,Salle 8,178.0
Male,22.0,Telecom,1,90.4,10.0,50.7,77.6,60.4,2.0,0.9,6.4,No,No,Middle,1.0,Yes,Salle 11,121.0
Male,21.0,Electrique,3,82.2,25.0,69.8,89.2,79.4,0.0,1.6,10.7,No,Yes,Low,1.0,Yes,Salle 22,188.0
Male,25.0,Telecom,1,96.3,4.0,71.8,50.1,91.2,2.0,0.8,12.1,No,No,High,0.0,Yes,Salle 16,121.0
Male,19.0,GenieCivil,2,66.0,34.0,77.1,54.7,78.8,2.0,1.7,9.6,Yes,Yes,High,1.0,No,Salle 1,177.0
Male,24.0,Informatique,1,77.4,23.0,61.6,61.6,100.0,2.0,0.6,10.9,Yes,No,Middle,1.0,Yes,Salle 24,248.0
Male,24.0,Informatique,1,93.4,7.0,51.8,53.7,85.5,0.0,6.2,11.5,Yes,No,Middle,0.0,Yes,Salle 19,248.0
Male,23.0,Chimie,2,82.2,1.0,39.4,65.8,78.6,0.0,0.1,11.5,No,Yes,High,0.0,Yes,Salle 13,119.0
Male,22.0,Chimie,4,82.5,18.0,42.7,79.7,60.7,1.0,2.0,16.3,Yes,Yes,Low,1.0,Yes,Salle 26,93.0
Female,21.0,Chimie,3,72.6,27.0,44.1,64.3,63.5,3.0,4.9,26.6,Yes,No,Middle,1.0,Yes,Salle 30,130.0
Female,20.0,Mecanique,2,75.7,24.0,65.1,93.0,90.7,1.0,0.2,3.3,Yes,No,Middle,1.0,Yes,Salle 11,231.0
Male,21.0,Informatique,5,66.9,33.0,35.6,45.6,70.3,0.0,3.7,12.3,Yes,No,Middle,1.0,Yes,Salle 2,109.0
Male,19.0,Electrique,2,81.4,19.0,63.2,55.8,63.0,2.0,1.2,11.5,Yes,No,Middle,3.0,No,Salle 8,185.0
Other,18.0,GenieCivil,3,79.1,21.0,65.1,80.2,59.8,2.0,1.5,8.5,No,No,Middle,1.0,No,Salle 17,185.0
Male,23.0,Energetique,4,79.6,20.0,40.8,44.5,38.0,1.0,1.4,7.2,Yes,No,Middle,0.0,No,Salle 11,70.0
Male,19.0,Informatique,2,71.5,28.0,76.2,56.3,91.7,1.0,1.3,7.5,Yes,No,Middle,2.0,Yes,Salle 12,298.0
Male,23.0,Telecom,4,82.3,18.0,49.0,81.9,72.6,1.0,0.5,6.9,Yes,No,Middle,0.0,Yes,Salle 2,121.0
Male,23.0,Electrique,3,91.6,8.0,65.1,91.6,68.5,1.0,0.8,9.7,Yes,No,Low,2.0,Yes,Salle 26,188.0
Male,22.0,Informatique,4,62.1,38.0,55.7,77.4,82.7,2.0,3.2,20.5,Yes,Yes,Low,2.0,No,Salle 25,230.0
Other,22.0,Informatique,4,88.6,11.0,65.1,40.4,79.7,1.0,2.1,7.4,Yes,No,Middle,2.0,Yes,Salle 15,230.0
Male,19.0,Mecanique,4,97.9,2.0,73.0,53.7,49.0,2.0,0.4,11.6,Yes,No,Middle,1.0,Yes,Salle 20,178.0
Male,20.0,Energetique,3,93.1,7.0,70.8,76.6,88.5,1.0,1.0,11.5,Yes,No,Low,1.0,No,Salle 1,104.0
Other,21.0,GenieCivil,4,54.2,46.0,32.6,70.8,56.3,1.0,1.3,10.5,No,No,Middle,0.0,Yes,Salle 11,173.0
Female,18.0,Electrique,3,59.7,40.0,88.6,54.9,34.8,1.0,2.1,12.5,Yes,No,Middle,1.0,No,Salle 10,188.0
Male,20.0,Telecom,2,90.4,10.0,61.2,80.7,49.6,0.0,0.3,3.3,Yes,No,Middle,2.0,No,Salle 13,161.0
Male,23.0,Mecanique,4,80.0,20.0,44.4,56.8,26.2,2.0,0.3,6.9,Yes,Yes,Middle,1.0,Yes,Salle 6,178.0
Male,25.0,GenieCivil,2,79.9,20.0,63.2,57.7,48.9,0.0,2.6,11.5,Yes,No,Low,2.0,Yes,Salle 10,177.0
Male,25.0,GenieCivil,2,68.9,31.0,86.3,83.9,67.6,2.0,0.7,9.5,Yes,No,Middle,2.0,Yes,Salle 18,177.0
Male,22.0,Telecom,2,88.8,11.0,68.0,45.3,46.1,0.0,7.7,37.9,Yes,No,Middle,0.0,Yes,Salle 27,161.0
Male,25.0,Informatique,2,84.5,16.0,65.6,61.6,11.8,1.0,1.2,4.2,No,No,Middle,0.0,No,Salle 13,298.0
Female,25.0,Informatique,4,92.5,8.0,42.4,32.2,68.0,1.0,1.2,15.9,Yes,No,Middle,1.0,No,Salle 15,230.0
Female,19.0,GenieCivil,3,66.8,33.0,64.7,86.3,54.8,0.0,0.4,9.5,Yes,Yes,Middle,1.0,Yes,Salle 19,185.0
Male,24.0,Informatique,3,92.8,7.0,79.5,73.8,64.7,1.0,0.7,5.3,Yes,No,Low,1.0,Yes,Salle 7,263.0
Female,22.0,Mecanique,4,100.0,0.0,53.3,80.2,65.2,1.0,0.1,11.6,Yes,No,High,1.0,No,Salle 21,178.0
Male,21.0,GenieCivil,3,86.0,14.0,92.9,50.0,63.5,2.0,2.0,6.5,No,No,Middle,0.0,Yes,Salle 7,185.0
Male,22.0,Informatique,5,73.2,27.0,46.2,64.9,11.3,0.0,5.4,25.0,Yes,Yes,Low,0.0,Yes,Salle 1,109.0
Male,19.0,Electrique,2,82.2,17.0,68.8,25.2,22.9,1.0,1.7,15.7,Yes,Yes,Low,2.0,No,Salle 13,185.0
Male,20.0,Chimie,3,73.8,26.0,70.0,67.2,54.7,3.0,0.4,11.5,No,No,Low,1.0,Yes,Salle 20,130.0
Male,21.0,Energetique,1,69.3,31.0,67.9,61.6,81.8,1.0,1.4,18.2,Yes,No,Middle,1.0,Yes,Salle 5,83.0
Male,22.0,Telecom,1,92.7,7.0,81.5,49.4,41.8,3.0,7.1,36.0,Yes,No,Middle,0.0,No,Salle 6,121.0
Male,22.0,Informatique,2,93.0,7.0,50.9,46.0,79.1,4.0,1.4,22.1,No,No,Middle,1.0,No,Salle 18,298.0
Male,18.0,Electrique,4,82.2,12.0,56.8,42.0,43.1,1.0,0.8,11.0,Yes,No,Low,1.0,Yes,Salle 8,157.0
Male,22.0,Telecom,4,84.9,15.0,54.0,100.0,78.8,0.0,1.0,14.7,Yes,No,Middle,0.0,Yes,Salle 21,121.0
Female,20.0,Chimie,2,78.4,22.0,65.1,56.2,42.2,0.0,0.9,8.7,Yes,No,High,2.0,Yes,Salle 20,119.0
Male,28.0,Mecanique,3,90.2,10.0,59.4,58.8,100.0,1.0,0.3,3.3,Yes,No,Middle,1.0,No,Salle 4,212.0
Male,19.0,Informatique,2,87.8,12.0,69.7,31.4,33.4,0.0,1.2,11.5,Yes,No,Middle,0.0,Yes,Salle 5,298.0
Male,24.0,Telecom,1,82.2,34.0,63.6,67.7,79.2,2.0,1.4,14.9,Yes,No,Middle,2.0,Yes,Salle 22,121.0
Female,22.0,GenieCivil,4,82.1,18.0,49.7,77.6,88.6,0.0,1.4,11.5,Yes,No,Middle,1.0,Yes,Salle 6,173.0
Male,25.0,Informatique,2,60.9,39.0,69.3,53.6,56.6,0.0,1.4,13.3,No,Yes,Middle,1.0,Yes,Salle 22,298.0
Male,21.0,Electrique,2,74.5,26.0,70.9,37.0,48.9,5.0,1.4,7.6,Yes,No,Middle,1.0,Yes,Salle 14,185.0
Male,21.0,Mecanique,2,100.0,0.0,56.8,79.8,54.0,1.0,0.7,8.9,Yes,No,Middle,1.0,Yes,Salle 20,231.0
Female,23.0,GenieCivil,2,78.1,22.0,63.9,71.8,48.6,1.0,0.4,0.0,Yes,No,Middle,1.0,No,Salle 25,177.0
Male,21.0,GenieCivil,1,71.0,29.0,82.6,55.8,45.9,4.0,0.1,5.0,No,No,Middle,0.0,No,Salle 25,149.0
Male,23.0,Informatique,1,97.5,2.0,78.7,61.1,36.5,1.0,1.3,8.5,No,No,High,3.0,No,Salle 1,248.0
Female,23.0,Chimie,2,64.8,35.0,37.1,76.3,95.1,0.0,1.4,17.9,Yes,No,Low,1.0,No,Salle 13,119.0
Male,24.0,Informatique,4,82.9,17.0,81.6,35.4,38.6,1.0,1.4,13.9,Yes,No,High,0.0,Yes,Salle 9,230.0
Female,23.0,GenieCivil,4,98.7,1.0,37.4,65.2,89.0,1.0,5.8,23.0,Yes,No,Middle,1.0,Yes,Salle 2,173.0
Male,20.0,Mecanique,3,69.0,31.0,57.7,92.8,80.4,2.0,0.0,5.0,Yes,No,Low,1.0,Yes,Salle 1,212.0
Male,19.0,GenieCivil,4,75.3,25.0,66.2,70.3,70.9,1.0,1.1,10.2,Yes,Yes,Middle,0.0,Yes,Salle 10,173.0
Male,24.0,Informatique,5,62.0,38.0,72.3,36.2,83.0,1.0,0.7,8.6,Yes,No,Middle,2.0,Yes,Salle 20,109.0
Male,25.0,Energetique,3,82.2,27.0,86.9,100.0,58.2,1.0,0.2,5.5,Yes,No,Middle,0.0,Yes,Salle 26,104.0
Female,21.0,Chimie,4,47.8,52.0,76.2,93.7,88.4,3.0,0.5,6.5,Yes,No,Middle,0.0,Yes,Salle 12,93.0
Male,21.0,Informatique,2,94.3,6.0,69.6,58.2,86.1,1.0,6.5,32.3,Yes,No,Middle,0.0,Yes,Salle 17,298.0
Female,22.0,Mecanique,3,62.8,37.0,77.5,57.4,55.3,1.0,5.4,24.5,No,No,Low,0.0,No,Salle 12,212.0
Female,18.0,GenieCivil,1,93.8,6.0,60.3,66.9,71.5,1.0,3.4,14.9,Yes,No,Middle,2.0,Yes,Salle 22,149.0
Female,20.0,Mecanique,1,79.8,20.0,59.1,54.4,51.1,1.0,1.1,8.8,Yes,Yes,Low,0.0,No,Salle 24,186.0
Female,23.0,Electrique,4,89.1,11.0,45.5,77.1,41.9,0.0,0.7,5.0,No,No,Middle,0.0,Yes,Salle 26,157.0
Female,21.0,Energetique,2,74.9,25.0,68.5,67.4,82.4,2.0,0.8,5.4,Yes,No,Middle,4.0,No,Salle 6,71.0
Female,20.0,GenieCivil,4,100.0,0.0,68.8,40.0,42.8,2.0,1.4,9.6,Yes,No,Low,0.0,Yes,Salle 16,173.0
Female,24.0,Energetique,1,80.8,19.0,55.3,65.3,82.6,1.0,2.2,15.2,Yes,Yes,Middle,0.0,Yes,Salle 16,83.0
Female,19.0,Informatique,4,65.7,34.0,43.6,56.7,63.5,1.0,2.5,19.3,Yes,No,High,0.0,No,Salle 25,230.0
Female,20.0,Telecom,3,85.0,15.0,50.1,62.0,63.5,2.0,6.4,27.7,Yes,Yes,Middle,0.0,Yes,Salle 19,154.0
Female,20.0,Mecanique,4,77.2,23.0,58.8,61.7,63.5,1.0,0.4,1.1,Yes,No,Low,0.0,Yes,Salle 20,178.0
Male,23.0,Mecanique,3,89.6,10.0,60.4,74.9,82.1,3.0,2.1,13.7,No,No,High,0.0,Yes,Salle 26,212.0
Male,22.0,Mecanique,1,75.4,25.0,22.7,65.2,69.4,1.0,1.4,7.6,Yes,No,Middle,2.0,Yes,Salle 1,186.0
Male,20.0,Electrique,4,83.6,16.0,53.7,26.0,56.6,0.0,1.8,10.2,No,No,Middle,1.0,Yes,Salle 19,157.0
Male,19.0,Informatique,3,89.2,11.0,85.5,65.6,62.5,3.0,2.7,17.8,Yes,No,Middle,1.0,No,Salle 16,263.0
Female,20.0,Mecanique,1,67.7,32.0,63.9,39.6,100.0,2.0,2.5,17.9,No,No,Low,1.0,Yes,Salle 1,186.0
Other,20.0,Mecanique,2,83.7,16.0,54.5,41.2,87.8,1.0,7.0,40.8,Yes,No,Middle,1.0,Yes,Salle 19,231.0
Male,25.0,GenieCivil,1,90.0,10.0,71.2,65.2,24.5,1.0,0.8,7.0,Yes,No,Middle,1.0,No,Salle 29,149.0
Male,23.0,Mecanique,3,90.5,10.0,75.3,100.0,71.2,1.0,0.2,0.5,No,No,Low,1.0,Yes,Salle 5,212.0
Male,18.0,Mecanique,4,80.1,20.0,50.7,39.3,51.8,0.0,0.6,1.9,Yes,No,Middle,1.0,Yes,Salle 11,178.0
Male,21.0,Telecom,3,90.5,10.0,99.1,52.2,83.7,1.0,0.2,4.7,No,No,High,1.0,No,Salle 24,154.0
Male,21.0,GenieCivil,5,75.0,25.0,75.9,41.3,69.9,1.0,4.7,22.3,No,No,Middle,1.0,Yes,Salle 1,70.0
Male,25.0,GenieCivil,2,79.8,20.0,51.0,81.7,78.4,1.0,2.4,12.8,Yes,No,Middle,3.0,Yes,Salle 4,177.0
Male,21.0,Informatique,3,100.0,0.0,72.6,61.6,48.6,3.0,0.2,6.3,Yes,No,Middle,2.0,Yes,Salle 7,263.0
Female,27.0,Informatique,1,71.8,28.0,86.9,66.4,29.8,2.0,0.8,9.5,Yes,No,Middle,0.0,Yes,Salle 3,248.0
Female,23.0,Informatique,3,82.3,18.0,68.2,58.9,50.6,1.0,0.8,18.0,Yes,No,Low,1.0,No,Salle 22,263.0
Male,22.0,Informatique,4,62.0,38.0,41.2,76.0,63.5,0.0,0.3,4.3,Yes,No,Middle,1.0,No,Salle 9,230.0
Male,26.0,Electrique,1,100.0,0.0,81.0,91.1,94.8,1.0,2.5,4.4,No,No,Low,1.0,Yes,Salle 6,143.0
Male,21.0,Informatique,2,83.0,17.0,38.6,57.6,77.8,1.0,1.0,12.1,Yes,No,Low,2.0,No,Salle 21,298.0
Male,22.0,Energetique,3,87.5,12.0,65.1,59.5,68.0,1.0,0.4,8.4,Yes,No,Middle,1.0,Yes,Salle 8,104.0
Male,21.0,Telecom,1,100.0,0.0,46.0,38.0,76.9,0.0,0.0,13.9,Yes,No,High,2.0,Yes,Salle 14,121.0
Male,23.0,Chimie,1,81.1,19.0,66.5,30.1,56.7,0.0,0.3,3.3,Yes,No,Middle,1.0,Yes,Salle 18,96.0
Female,24.0,Energetique,2,94.9,5.0,42.5,45.8,89.3,0.0,0.6,6.5,No,No,Middle,1.0,Yes,Salle 3,71.0
Male,24.0,Electrique,4,65.9,34.0,54.8,37.3,61.4,0.0,3.4,14.2,Yes,Yes,Middle,0.0,Yes,Salle 18,157.0
Male,22.0,Mecanique,4,65.0,35.0,66.0,66.6,64.6,0.0,1.2,12.9,Yes,Yes,Middle,1.0,Yes,Salle 19,178.0
Female,23.0,Informatique,4,83.9,16.0,81.6,64.0,41.9,1.0,0.0,5.9,Yes,No,Middle,0.0,No,Salle 8,230.0
Male,20.0,Mecanique,4,83.6,16.0,73.7,58.4,73.1,0.0,0.6,2.5,Yes,No,Middle,1.0,Yes,Salle 12,178.0
Male,25.0,Electrique,3,76.7,23.0,77.4,51.6,40.4,1.0,1.7,13.3,No,No,Middle,1.0,Yes,Salle 7,188.0
Male,21.0,Informatique,4,66.1,34.0,74.3,80.4,55.0,0.0,2.0,15.2,Yes,No,Middle,1.0,Yes,Salle 2,230.0
Male,21.0,Informatique,4,80.9,19.0,82.0,53.8,59.2,1.0,4.6,25.9,Yes,No,Middle,0.0,No,Salle 11,230.0
Female,20.0,GenieCivil,4,81.1,19.0,74.0,61.5,49.8,1.0,4.5,32.6,No,No,Middle,2.0,Yes,Salle 4,173.0
Male,22.0,GenieCivil,2,78.2,22.0,66.6,52.5,100.0,1.0,1.1,13.7,Yes,No,Middle,1.0,Yes,Salle 10,177.0
Male,21.0,Mecanique,3,89.4,11.0,63.0,61.6,78.5,1.0,2.8,9.3,Yes,No,Middle,1.0,Yes,Salle 22,212.0
Female,22.0,GenieCivil,2,100.0,0.0,60.0,61.6,61.8,1.0,3.6,17.9,No,Yes,Middle,3.0,Yes,Salle 27,177.0
Female,24.0,Informatique,2,98.5,2.0,66.3,74.4,100.0,1.0,0.7,5.8,No,No,Middle,1.0,Yes,Salle 8,298.0
Male,24.0,Mecanique,1,82.2,21.0,56.8,42.8,70.2,0.0,0.4,4.8,No,No,Middle,2.0,No,Salle 27,186.0
Female,23.0,Informatique,4,97.2,3.0,69.4,42.3,100.0,1.0,2.2,13.6,Yes,No,Low,0.0,Yes,Salle 25,230.0
Male,19.0,Informatique,4,66.4,34.0,66.7,39.0,50.2,1.0,7.6,41.2,Yes,No,High,1.0,Yes,Salle 24,230.0
Male,22.0,Mecanique,2,61.1,39.0,65.1,34.6,53.7,0.0,2.8,10.1,Yes,No,Low,0.0,Yes,Salle 29,231.0
Female,25.0,Mecanique,4,77.4,23.0,81.6,89.8,45.9,4.0,5.2,27.8,Yes,Yes,High,1.0,No,Salle 22,178.0
Male,23.0,Chimie,1,70.5,30.0,72.9,72.9,36.1,1.0,0.3,12.8,Yes,Yes,Middle,1.0,Yes,Salle 29,96.0
Female,20.0,Informatique,3,100.0,0.0,66.4,66.0,90.4,0.0,0.9,11.5,Yes,No,Middle,1.0,Yes,Salle 22,263.0
Female,22.0,Telecom,4,100.0,0.0,54.1,41.3,70.0,1.0,1.3,9.5,Yes,No,Low,3.0,No,Salle 1,121.0
Female,22.0,Informatique,2,79.1,21.0,61.8,58.9,61.4,0.0,0.2,11.9,No,No,Low,1.0,Yes,Salle 22,298.0
Female,26.0,Mecanique,3,95.3,5.0,78.9,30.0,71.8,1.0,0.7,7.6,Yes,No,Middle,1.0,No,Salle 11,212.0
Male,22.0,Chimie,2,83.1,17.0,85.2,62.6,72.6,0.0,4.9,23.0,Yes,Yes,High,0.0,Yes,Salle 24,119.0
Male,22.0,Mecanique,1,87.1,13.0,61.0,36.9,71.4,1.0,1.3,11.5,No,No,High,1.0,No,Salle 14,186.0
Male,19.0,Mecanique,4,76.6,23.0,82.4,11.7,42.9,3.0,0.5,11.5,Yes,No,Low,1.0,Yes,Salle 25,178.0
Male,23.0,Mecanique,2,83.2,17.0,67.5,60.2,38.7,2.0,4.7,23.5,Yes,Yes,Middle,3.0,Yes,Salle 19,231.0
Male,23.0,Mecanique,1,80.3,20.0,73.0,59.5,59.4,1.0,0.6,2.1,Yes,No,Middle,1.0,Yes,Salle 11,186.0
Male,22.0,GenieCivil,4,100.0,0.0,38.4,43.9,84.5,2.0,0.3,6.7,Yes,No,Low,2.0,Yes,Salle 24,173.0
Male,25.0,Mecanique,2,79.3,21.0,46.3,60.1,57.8,1.0,0.5,15.3,Yes,No,Middle,2.0,Yes,Salle 6,231.0
Male,22.0,Chimie,2,71.2,29.0,57.6,32.0,31.5,1.0,0.8,11.5,Yes,No,Middle,0.0,Yes,Salle 15,119.0
Male,23.0,Energetique,2,74.2,26.0,71.7,52.2,67.5,0.0,0.1,9.6,Yes,No,Middle,1.0,No,Salle 26,71.0
Male,20.0,Mecanique,1,84.4,16.0,65.1,98.7,65.9,2.0,3.1,20.7,No,No,Middle,2.0,No,Salle 30,186.0
Female,21.0,Mecanique,5,88.1,12.0,74.4,40.3,15.0,1.0,3.4,21.9,No,No,Middle,3.0,Yes,Salle 26,67.0
Male,22.0,Electrique,5,80.2,20.0,39.8,61.6,48.6,1.0,1.4,10.3,Yes,Yes,Low,0.0,Yes,Salle 21,80.0
Female,18.0,Chimie,2,56.2,44.0,72.9,62.8,73.0,1.0,3.0,13.6,No,No,Middle,0.0,Yes,Salle 18,119.0
Male,22.0,Chimie,3,72.8,27.0,98.0,69.7,36.6,1.0,0.6,3.5,No,No,Middle,0.0,Yes,Salle 3,130.0
Male,24.0,Chimie,2,96.1,4.0,65.8,53.7,73.0,0.0,0.4,5.1,Yes,Yes,Middle,0.0,Yes,Salle 17,119.0
Female,22.0,Informatique,5,54.9,45.0,80.1,38.6,72.0,1.0,0.2,11.2,Yes,No,High,2.0,Yes,Salle 19,109.0
Male,20.0,Informatique,4,78.9,21.0,88.6,41.0,64.1,0.0,0.2,3.5,Yes,No,Low,2.0,Yes,Salle 5,230.0
Female,21.0,Energetique,5,72.4,28.0,46.5,60.1,6.3,1.0,0.0,11.5,Yes,No,Middle,1.0,Yes,Salle 30,40.0
Female,24.0,Mecanique,2,83.0,17.0,65.5,61.6,91.9,0.0,3.6,17.1,Yes,No,Middle,1.0,Yes,Salle 7,231.0
Male,24.0,Informatique,3,85.5,14.0,70.3,51.1,77.3,1.0,4.4,21.9,Yes,No,Middle,1.0,Yes,Salle 14,263.0
Male,21.0,Chimie,2,73.3,27.0,70.9,97.6,66.6,1.0,0.4,0.0,No,No,Middle,1.0,Yes,Salle 5,119.0
Female,20.0,Chimie,4,76.1,24.0,75.4,74.0,51.9,0.0,0.7,9.3,No,No,Low,0.0,No,Salle 15,93.0
Male,24.0,Chimie,3,81.2,19.0,63.9,61.6,63.5,1.0,1.4,3.0,No,No,Middle,1.0,Yes,Salle 2,130.0
Male,21.0,Mecanique,5,77.0,23.0,72.1,61.6,49.3,0.0,0.1,1.7,Yes,No,Middle,1.0,Yes,Salle 14,67.0
Male,20.0,Telecom,4,94.9,5.0,56.4,61.6,63.5,1.0,1.4,11.2,No,Yes,Middle,1.0,Yes,Salle 3,121.0
Female,25.0,Informatique,3,92.2,8.0,37.3,89.2,63.5,5.0,2.9,16.6,Yes,No,Middle,0.0,No,Salle 28,263.0
Male,20.0,GenieCivil,2,96.5,4.0,27.0,81.7,100.0,1.0,1.6,14.7,Yes,No,Middle,1.0,Yes,Salle 12,177.0
Female,24.0,Mecanique,3,72.7,27.0,66.0,45.1,66.6,1.0,0.5,9.7,No,Yes,Middle,1.0,No,Salle 19,212.0
Male,21.0,Electrique,3,55.2,45.0,60.5,77.5,65.7,0.0,1.4,12.8,No,No,Middle,2.0,Yes,Salle 1,188.0
Male,24.0,Electrique,2,74.7,25.0,74.7,55.1,2.3,1.0,0.5,5.0,Yes,No,Low,2.0,Yes,Salle 7,185.0
Female,19.0,Telecom,3,74.2,26.0,100.0,41.4,59.1,2.0,3.1,22.6,Yes,Yes,Low,1.0,No,Salle 7,154.0
Male,19.0,GenieCivil,1,100.0,0.0,72.5,77.1,63.5,0.0,0.7,10.0,No,No,Low,0.0,Yes,Salle 25,149.0
Male,23.0,Informatique,4,88.3,12.0,64.9,79.2,47.7,1.0,2.0,15.6,No,No,Low,1.0,No,Salle 25,230.0
Female,24.0,Informatique,3,76.4,24.0,63.7,74.5,66.5,1.0,0.1,3.3,No,No,High,1.0,Yes,Salle 13,263.0
Male,25.0,Telecom,2,100.0,0.0,48.3,100.0,93.7,4.0,4.2,9.5,No,No,Low,0.0,Yes,Salle 22,161.0
Other,19.0,Telecom,4,91.2,9.0,62.2,80.5,75.5,0.0,0.2,2.5,Yes,Yes,Middle,2.0,Yes,Salle 20,121.0
Male,21.0,Electrique,2,94.0,6.0,72.3,64.3,10.2,1.0,1.7,10.6,Yes,No,High,3.0,Yes,Salle 26,185.0
Male,23.0,Informatique,5,93.9,6.0,65.1,58.3,75.4,2.0,1.1,9.3,No,No,Middle,1.0,Yes,Salle 6,109.0
Female,23.0,Mecanique,4,98.2,2.0,46.7,87.2,62.1,1.0,1.4,9.6,Yes,Yes,Low,2.0,Yes,Salle 17,178.0
Male,23.0,Telecom,5,74.1,26.0,58.1,88.8,41.3,1.0,0.1,4.6,No,No,Middle,0.0,No,Salle 20,60.0
Male,22.0,GenieCivil,2,75.0,25.0,69.3,79.3,90.3,0.0,1.4,24.1,No,No,Middle,1.0,Yes,Salle 1,177.0
Male,21.0,Mecanique,1,93.8,6.0,39.1,26.8,29.1,0.0,1.1,6.1,Yes,Yes,Middle,1.0,No,Salle 17,186.0
Male,20.0,Energetique,3,89.8,10.0,33.9,100.0,76.1,1.0,11.5,48.2,No,No,Middle,1.0,Yes,Salle 7,104.0
Female,23.0,Telecom,5,87.3,13.0,64.6,42.2,54.0,0.0,0.3,3.1,Yes,No,Middle,1.0,Yes,Salle 28,60.0
